"","legalRep","observer","count","perRep"
"1","Attorney present for tenant (Defendant)","DEAC",568,0.982698961937716
"2","Attorney present for tenant (Defendant)","Evyn",2,0.00346020761245675
"3","Attorney present for tenant (Defendant)","Madeleine H",4,0.0069204152249135
"4","Attorney present for tenant (Defendant)","Niki",4,0.0069204152249135
"5","No attorney present for tenant","Ashley",8,0.0358744394618834
"6","No attorney present for tenant","DEAC",129,0.57847533632287
"7","No attorney present for tenant","Evyn",26,0.116591928251121
"8","No attorney present for tenant","Jaclyn",15,0.0672645739910314
"9","No attorney present for tenant","Madeleine H",5,0.0224215246636771
"10","No attorney present for tenant","Niki",4,0.0179372197309417
"11","No attorney present for tenant","Tate",36,0.161434977578475
"12",NA,"DEAC",342,1
