"","jpCourt","noticeConfirm","observer","count","perntv"
"1","Court 1-2","Yes, the NTV was confirmed orally.","Madeleine H",5,1
"2","Court 1-2","Yes, the NTV was confirmed with proof/evidence.","Madeleine H",1,1
"3","Court 3-1","Yes, the NTV was confirmed orally.","Ashley",6,0.25
"4","Court 3-1","Yes, the NTV was confirmed orally.","Tate",18,0.75
"5","Court 3-1","Yes, the NTV was confirmed with proof/evidence.","Ashley",1,0.5
"6","Court 3-1","Yes, the NTV was confirmed with proof/evidence.","Tate",1,0.5
"7","Court 3-2","Yes, the NTV was confirmed orally.","Tate",1,1
"8","Court 5-1","Yes, the NTV was confirmed orally.","Evyn",1,0.5
"9","Court 5-1","Yes, the NTV was confirmed orally.","Jaclyn",1,0.5
"10","Court 5-1","Yes, the NTV was confirmed with proof/evidence.","Evyn",10,0.769230769230769
"11","Court 5-1","Yes, the NTV was confirmed with proof/evidence.","Jaclyn",3,0.230769230769231
